transaction_id,customer_id,transaction_amount,transaction_type,transaction_time,transaction_location,device_type,previous_transactions_count,is_fraud
T000062,C3641,176.46,deposit,2025-01-04 20:02:56,California,mobile,16,0
T000063,C9496,44.12,transfer,2025-01-10 21:15:38,New York,desktop,29,0
T000064,C2632,32.98,transfer,2025-01-17 06:41:05,Washington,desktop,7,0
T000065,C8809,78.24,payment,2025-01-07 21:24:06,Washington,mobile,41,0
T000066,C6703,15.19,payment,2025-01-06 17:14:44,California,POS,9,0
T000067,C1841,162.05,payment,2025-01-24 09:19:10,Georgia,mobile,15,0
T000068,C6762,7.75,withdrawal,2025-01-21 23:24:20,Texas,ATM,37,0
T000069,C9283,433.41,payment,2025-01-19 19:47:48,Texas,mobile,25,0
T000070,C7802,147.95,transfer,2025-01-19 20:10:44,California,ATM,30,0
T000071,C3912,22.15,deposit,2025-01-08 07:21:46,California,POS,7,0
T000072,C2276,0.55,deposit,2025-01-27 23:26:20,Florida,desktop,34,0
T000073,C3844,168.99,transfer,2025-01-10 12:34:12,New York,ATM,33,0
T000074,C1529,122.71,withdrawal,2025-01-15 03:08:33,California,ATM,9,0
T000075,C9241,130.57,deposit,2025-01-20 05:30:30,New York,mobile,39,0
T000076,C8224,147.52,transfer,2025-01-28 18:03:22,Washington,mobile,43,0
T000077,C5694,7.69,transfer,2025-01-14 12:10:04,Illinois,desktop,11,0
T000078,C7724,44.39,transfer,2025-01-26 21:32:42,Texas,POS,40,0
T000079,C3722,12.32,deposit,2025-01-07 18:46:10,California,ATM,26,0
T000080,C8895,198.85,deposit,2025-01-16 07:01:26,Illinois,desktop,18,0
T000081,C1488,97.63,payment,2025-01-01 19:45:31,Texas,ATM,25,0
T000082,C5897,40.18,payment,2025-01-11 01:49:38,Florida,desktop,14,0
T000083,C4402,6.57,transfer,2025-01-23 19:50:34,Texas,mobile,30,0
T000084,C8760,37.25,transfer,2025-01-07 00:31:08,California,mobile,45,0
T000085,C7994,39.33,transfer,2025-01-28 13:13:14,Illinois,POS,36,0
T000086,C5155,130.79,transfer,2025-01-25 07:51:59,Illinois,mobile,17,0
T000087,C4695,101.49,deposit,2025-01-03 17:30:33,Illinois,desktop,28,0
T000088,C2316,218.23,payment,2025-01-20 16:18:42,Texas,ATM,43,0
T000089,C4824,63.91,withdrawal,2025-01-09 20:12:14,New York,desktop,26,0
T000090,C7168,12.74,transfer,2025-01-30 22:26:03,Georgia,POS,37,0
T000091,C7974,124.91,payment,2025-01-05 15:49:19,New York,mobile,19,0
T000092,C4831,143.04,transfer,2025-01-19 13:13:39,Texas,mobile,20,0
T000093,C9079,82.39,deposit,2025-01-13 11:54:42,California,ATM,28,0
T000094,C9286,147.39,withdrawal,2025-01-29 09:20:59,Texas,POS,42,0
T000095,C6556,68.08,payment,2025-01-05 12:39:35,New York,POS,14,0
T000096,C3828,73.97,payment,2025-01-29 06:29:28,Texas,mobile,21,0
T000097,C1624,55.78,withdrawal,2025-01-15 11:14:34,Illinois,POS,22,0
T000098,C2506,2.57,deposit,2025-01-25 15:19:02,California,desktop,3,0
T000099,C5347,11.42,withdrawal,2025-01-17 21:11:22,Georgia,POS,23,1
T000100,C3107,3.19,payment,2025-01-22 07:45:00,California,desktop,13,0
T000101,C8939,101.17,withdrawal,2025-01-20 13:28:18,Florida,desktop,36,0
T000102,C3357,37.74,deposit,2025-01-10 14:55:07,Georgia,desktop,20,0
T000103,C9317,71.04,deposit,2025-01-05 16:42:15,Texas,mobile,42,0
T000104,C4639,238.13,transfer,2025-01-10 09:18:38,Washington,desktop,38,0
T000105,C6853,28.67,withdrawal,2025-01-16 09:45:07,Washington,ATM,12,0
T000106,C3076,52.83,withdrawal,2025-01-16 21:45:02,Georgia,POS,18,0
T000107,C1058,140.87,payment,2025-01-17 19:16:59,Georgia,desktop,25,0
T000108,C5457,25.98,deposit,2025-01-16 14:29:58,Georgia,ATM,35,0
T000109,C2454,8.01,withdrawal,2025-01-06 07:37:50,Washington,mobile,43,0
T000110,C1805,34.21,payment,2025-01-20 09:52:22,Illinois,mobile,45,0
T000111,C2720,17.58,transfer,2025-01-17 04:46:41,Washington,mobile,32,0
T000112,C7686,265.5,withdrawal,2025-01-03 04:25:56,Texas,mobile,39,0
T000113,C9259,165.09,withdrawal,2025-01-26 06:44:33,Florida,POS,15,0
T000114,C3198,100.35,payment,2025-01-16 11:52:43,Florida,mobile,18,0
T000115,C8835,205.15,payment,2025-01-04 06:32:16,Texas,POS,36,0
T000116,C4740,162.8,deposit,2025-01-24 20:53:09,Washington,ATM,13,0
T000117,C8882,20.65,deposit,2025-01-16 00:20:02,Texas,mobile,43,0
T000118,C7135,223.08,deposit,2025-01-30 19:50:56,Georgia,mobile,43,0
T000119,C7011,77.51,withdrawal,2025-01-28 21:24:41,Georgia,ATM,29,0
T000120,C7766,164.73,payment,2025-01-05 11:24:31,Texas,ATM,30,0
T000121,C2602,226.42,deposit,2025-01-26 08:53:01,Georgia,POS,19,0
T000122,C6780,38.27,withdrawal,2025-01-26 05:19:50,New York,desktop,43,0
T000123,C6938,11.66,deposit,2025-01-28 17:26:35,Florida,POS,42,0
T000124,C8076,25.87,transfer,2025-01-03 09:13:08,California,desktop,46,0
T000125,C2715,55.71,withdrawal,2025-01-25 15:19:06,Washington,POS,6,0
T000126,C6194,170.38,deposit,2025-01-28 13:27:13,Washington,desktop,41,0
T000127,C2264,197.13,deposit,2025-01-06 23:49:34,New York,mobile,36,0
T000128,C9300,0.7,transfer,2025-01-20 17:52:26,Illinois,desktop,46,0
T000129,C8477,71.49,transfer,2025-01-25 10:10:32,California,ATM,1,0
T000130,C1663,54.03,deposit,2025-01-20 10:15:51,California,ATM,21,0
T000131,C8950,25.12,deposit,2025-01-29 16:09:17,California,desktop,12,0
T000132,C3188,12.77,payment,2025-01-07 01:00:20,Georgia,mobile,45,0
T000133,C1313,41.19,deposit,2025-01-12 06:00:36,Florida,mobile,37,0
T000134,C1906,286.31,deposit,2025-01-09 17:24:45,Illinois,desktop,30,0
T000135,C1692,39.04,payment,2025-01-22 15:11:39,New York,desktop,0,0
T000136,C6277,73.15,payment,2025-01-22 10:26:50,Georgia,ATM,46,0
T000137,C7005,121.41,deposit,2025-01-16 18:24:49,Illinois,ATM,42,0
T000138,C4062,45.2,payment,2025-01-14 17:08:01,Washington,POS,12,0
T000139,C8602,356.78,withdrawal,2025-01-28 14:51:58,New York,mobile,16,0
T000140,C3129,328.2,transfer,2025-01-07 14:04:52,Georgia,mobile,3,0
T000141,C1660,29.01,withdrawal,2025-01-10 08:09:41,Florida,mobile,42,0
T000142,C2904,68.77,transfer,2025-01-23 16:32:09,Washington,POS,30,0
T000143,C8151,35.79,transfer,2025-01-28 09:08:35,Illinois,POS,32,0
T000144,C2040,33.52,deposit,2025-01-16 19:02:44,California,ATM,13,0
T000145,C1123,3.76,transfer,2025-01-27 04:40:12,Illinois,ATM,20,0
T000146,C4595,94.05,withdrawal,2025-01-28 13:35:49,Washington,desktop,21,0
T000147,C5071,69.85,deposit,2025-01-24 11:03:56,Georgia,POS,4,0
T000148,C9240,5.29,payment,2025-01-21 17:53:44,Georgia,POS,36,0
T000149,C9430,32.66,withdrawal,2025-01-15 06:02:14,Florida,POS,31,0
T000150,C9436,238.89,deposit,2025-01-05 12:52:37,Florida,mobile,2,0
T000151,C2819,27.39,transfer,2025-01-04 03:35:53,Florida,ATM,40,0
T000152,C1096,15.65,withdrawal,2025-01-25 00:43:19,New York,desktop,12,0
T000153,C9356,67.23,transfer,2025-01-16 07:46:02,Illinois,POS,10,0
T000154,C4406,424.4,deposit,2025-01-19 21:58:11,California,POS,49,0
T000155,C9982,27.71,deposit,2025-01-05 22:52:33,Georgia,POS,41,0
T000156,C3379,111.52,payment,2025-01-01 19:32:19,California,mobile,37,0
T000157,C9756,143.39,payment,2025-01-11 01:39:11,Texas,desktop,23,0
T000158,C8414,27.13,withdrawal,2025-01-30 06:36:28,Florida,desktop,8,0
T000159,C6717,130.27,payment,2025-01-11 21:28:48,Washington,POS,12,0
T000160,C7460,45.85,transfer,2025-01-19 07:21:16,California,desktop,21,0
T000161,C8206,100.05,transfer,2025-01-16 11:13:25,Florida,mobile,17,0
T000162,C1204,100.38,payment,2025-01-01 16:13:42,California,POS,9,0
T000163,C5356,76.74,payment,2025-01-25 15:18:37,Illinois,ATM,46,0
T000164,C6822,9.46,payment,2025-01-09 14:33:19,Texas,ATM,11,0
T000165,C3795,180.36,withdrawal,2025-01-09 06:44:52,Florida,desktop,29,0
T000166,C8634,38.68,withdrawal,2025-01-06 22:28:36,New York,ATM,46,0
T000167,C4328,20.64,transfer,2025-01-27 06:34:06,New York,ATM,45,0
T000168,C8905,4.16,withdrawal,2025-01-07 11:59:15,California,POS,18,0
T000169,C8884,89.38,withdrawal,2025-01-21 17:31:33,Georgia,mobile,18,0
T000170,C7335,113.19,deposit,2025-01-25 09:57:53,Illinois,POS,9,0
T000171,C7876,1.67,transfer,2025-01-27 22:35:47,Washington,mobile,0,0
T000172,C2639,71.76,transfer,2025-01-23 17:22:29,Georgia,POS,6,0
T000173,C5208,25.68,payment,2025-01-03 01:49:10,Florida,ATM,10,0
T000174,C9723,103.61,deposit,2025-01-17 17:47:16,Texas,POS,3,0
T000175,C4942,19.16,payment,2025-01-05 16:44:49,Illinois,desktop,35,0
T000176,C6232,117.42,withdrawal,2025-01-04 08:30:07,California,desktop,20,0
T000177,C2121,48.9,transfer,2025-01-30 23:49:44,Illinois,mobile,21,0
T000178,C7977,276.03,withdrawal,2025-01-28 19:46:50,Texas,mobile,9,0
T000179,C2424,14.79,withdrawal,2025-01-01 15:38:11,Illinois,mobile,22,0
T000180,C7056,41.71,deposit,2025-01-13 06:26:16,Florida,desktop,4,0
T000181,C3993,12.04,deposit,2025-01-21 19:30:41,California,POS,47,0
T000182,C4855,258.62,transfer,2025-01-15 01:01:48,Texas,ATM,11,0
T000183,C6359,209.83,transfer,2025-01-05 13:43:12,California,mobile,29,0
T000184,C5280,29.83,deposit,2025-01-22 18:03:33,Washington,POS,32,0
T000185,C9301,107.88,deposit,2025-01-21 15:42:41,Florida,POS,36,1
T000186,C9815,169.95,deposit,2025-01-15 08:47:52,Texas,desktop,17,0
T000187,C4690,81.01,deposit,2025-01-17 16:35:49,Washington,desktop,3,0
T000188,C4187,75.43,transfer,2025-01-09 08:38:35,Washington,ATM,26,0
T000189,C9255,27.69,transfer,2025-01-01 23:52:12,Washington,POS,46,0
T000190,C4186,9.77,withdrawal,2025-01-05 15:04:02,Texas,mobile,22,0
T000191,C9884,227.51,withdrawal,2025-01-21 17:51:51,California,desktop,5,0
T000192,C6827,230.68,withdrawal,2025-01-03 01:16:25,Illinois,POS,6,0
T000193,C5465,100.27,transfer,2025-01-07 05:12:43,Illinois,desktop,18,0
T000194,C4442,41.4,payment,2025-01-05 12:59:43,Washington,POS,45,0
T000195,C8949,42.96,withdrawal,2025-01-17 01:58:12,New York,desktop,14,0
T000196,C8347,129.45,payment,2025-01-10 19:57:09,New York,mobile,47,0
T000197,C1378,227.41,payment,2025-01-03 05:24:25,Texas,ATM,21,0
T000198,C5622,218.11,payment,2025-01-25 03:08:01,California,mobile,31,0
T000199,C3799,151.36,deposit,2025-01-01 09:49:18,Texas,desktop,14,0
T000200,C1139,102.73,transfer,2025-01-05 08:50:50,California,desktop,5,0
T000201,C8047,8.79,transfer,2025-01-04 20:49:55,Florida,desktop,5,0
T000202,C1431,17.63,withdrawal,2025-01-04 18:11:31,New York,mobile,5,0
T000203,C9725,228.82,withdrawal,2025-01-30 10:13:34,Texas,desktop,11,0
T000204,C2966,93.25,transfer,2025-01-03 14:01:57,Georgia,mobile,1,0
T000205,C1613,0.92,deposit,2025-01-19 23:25:55,Florida,desktop,24,0
T000206,C1569,10.7,transfer,2025-01-26 07:20:50,Illinois,ATM,3,0
T000207,C5056,108.92,payment,2025-01-08 15:26:58,New York,ATM,5,0
T000208,C7216,0.51,transfer,2025-01-03 23:33:59,California,desktop,41,0
T000209,C3721,17.53,deposit,2025-01-03 06:19:10,Washington,POS,36,0
T000210,C2379,79.57,transfer,2025-01-22 23:17:18,Illinois,mobile,37,0
T000211,C4486,117.73,transfer,2025-01-05 11:36:22,Illinois,desktop,13,0
T000212,C7617,105.54,transfer,2025-01-07 19:49:01,Florida,mobile,46,0
T000213,C3784,25.39,payment,2025-01-23 08:57:11,Georgia,POS,18,0
T000214,C6877,124.54,withdrawal,2025-01-14 04:55:18,Texas,ATM,6,0
T000215,C9638,27.08,deposit,2025-01-20 06:44:53,Washington,mobile,17,0
T000216,C5522,39.36,payment,2025-01-13 13:01:22,Texas,mobile,43,0
T000217,C7832,137.24,transfer,2025-01-27 13:23:00,Florida,mobile,7,0
T000218,C9172,104.88,transfer,2025-01-06 00:08:26,Illinois,mobile,27,0
T000219,C7041,189.2,withdrawal,2025-01-24 10:40:14,New York,mobile,20,0
T000220,C7921,107.18,withdrawal,2025-01-04 20:06:13,Illinois,ATM,34,0
T000221,C4079,84.0,withdrawal,2025-01-19 11:03:29,Florida,mobile,46,0
T000222,C7431,9.84,payment,2025-01-05 02:11:56,Illinois,mobile,9,0
T000223,C9892,45.84,deposit,2025-01-11 05:54:35,Washington,ATM,27,0
T000224,C1273,30.82,withdrawal,2025-01-21 00:51:51,Illinois,desktop,18,0
T000225,C3000,27.97,transfer,2025-01-24 14:33:58,Illinois,desktop,43,0
T000226,C9826,361.23,deposit,2025-01-05 15:01:26,Illinois,mobile,34,0
T000227,C7259,49.94,transfer,2025-01-24 20:08:58,New York,ATM,27,0
T000228,C3623,222.61,transfer,2025-01-12 22:11:05,California,mobile,45,0
T000229,C1871,99.73,deposit,2025-01-21 18:52:36,California,desktop,48,0
T000230,C3405,158.38,payment,2025-01-30 17:27:12,Texas,ATM,2,0
T000231,C7537,69.84,deposit,2025-01-06 11:26:30,California,POS,38,1
T000232,C1561,86.02,withdrawal,2025-01-25 14:26:43,California,ATM,26,0
T000233,C2486,67.83,deposit,2025-01-09 06:02:11,California,desktop,16,0
T000234,C9812,21.72,withdrawal,2025-01-12 16:08:41,Georgia,ATM,14,0
T000235,C4911,128.18,withdrawal,2025-01-18 06:27:28,Illinois,POS,41,0
T000236,C9024,32.96,deposit,2025-01-29 02:49:52,Georgia,ATM,38,0
T000237,C8413,2.46,deposit,2025-01-28 04:40:37,Illinois,mobile,21,0
T000238,C8400,103.7,withdrawal,2025-01-05 20:20:02,Washington,mobile,19,0
T000239,C1887,19.49,transfer,2025-01-08 06:32:54,New York,desktop,26,0
T000240,C5043,282.11,deposit,2025-01-11 14:05:40,Georgia,ATM,34,0
T000241,C6620,307.76,payment,2025-01-07 06:50:59,Illinois,desktop,46,0
T000242,C2975,246.35,withdrawal,2025-01-12 05:55:22,Illinois,ATM,4,0
T000243,C9943,46.23,transfer,2025-01-30 08:55:27,California,desktop,1,0
T000244,C6287,1.56,deposit,2025-01-08 19:14:14,New York,ATM,40,0
T000245,C3810,263.55,deposit,2025-01-30 15:27:36,New York,mobile,49,0
T000246,C6311,55.89,transfer,2025-01-09 22:38:01,California,desktop,44,0
T000247,C9879,340.08,payment,2025-01-19 23:04:52,Georgia,desktop,19,0
T000248,C9293,331.37,withdrawal,2025-01-11 07:57:22,California,POS,6,0
T000249,C7812,191.74,deposit,2025-01-14 04:09:52,New York,ATM,35,0
T000250,C1715,34.88,payment,2025-01-13 12:27:13,Florida,mobile,7,0
T000251,C1131,48.63,withdrawal,2025-01-14 15:20:45,California,mobile,26,0
T000252,C4084,190.47,payment,2025-01-20 16:21:13,California,mobile,5,0
T000253,C4985,38.11,withdrawal,2025-01-04 11:02:45,New York,desktop,23,0
T000254,C3610,18.57,withdrawal,2025-01-02 00:41:27,Georgia,mobile,35,0
T000255,C3630,81.37,payment,2025-01-17 20:42:53,Florida,desktop,4,0
T000256,C1580,275.13,withdrawal,2025-01-21 20:36:33,Washington,POS,19,0
T000257,C3089,119.08,deposit,2025-01-02 13:07:44,Florida,mobile,19,0
T000258,C1874,84.41,deposit,2025-01-20 16:36:24,Texas,POS,40,0
T000259,C8958,10.22,payment,2025-01-06 00:39:27,Florida,ATM,39,0
T000260,C8776,95.45,payment,2025-01-16 09:53:24,California,ATM,33,0
T000261,C8017,461.06,withdrawal,2025-01-17 19:33:54,Illinois,POS,38,0
T000262,C6893,15.09,withdrawal,2025-01-03 04:55:38,New York,ATM,49,0
T000263,C9819,73.05,payment,2025-01-06 00:50:34,Washington,mobile,9,0
T000264,C9924,209.86,transfer,2025-01-14 10:52:30,California,mobile,2,0
T000265,C3286,135.0,payment,2025-01-29 20:22:48,Washington,desktop,48,0
T000266,C3147,119.41,transfer,2025-01-24 21:29:39,New York,POS,33,0
T000267,C2216,121.23,transfer,2025-01-05 15:12:02,Washington,POS,34,0
T000268,C4855,44.55,payment,2025-01-25 14:56:05,Florida,desktop,36,0
T000269,C4446,34.76,payment,2025-01-10 06:41:21,New York,mobile,44,0
T000270,C5371,165.74,payment,2025-01-16 17:07:44,California,POS,44,0
T000271,C7277,166.13,transfer,2025-01-30 12:46:13,Illinois,desktop,37,0
T000272,C3722,201.8,deposit,2025-01-13 17:22:37,California,POS,45,0
T000273,C6320,244.46,deposit,2025-01-14 08:36:27,Georgia,POS,22,0
T000274,C2653,71.61,payment,2025-01-13 21:51:12,Texas,desktop,36,0
T000275,C8051,69.62,payment,2025-01-05 07:47:56,New York,POS,20,0
T000276,C7300,160.09,withdrawal,2025-01-26 16:08:27,California,ATM,26,0
T000277,C8013,104.97,withdrawal,2025-01-01 13:58:45,Florida,desktop,0,0
T000278,C7029,121.06,withdrawal,2025-01-05 22:51:16,Florida,desktop,8,0
T000279,C3069,158.86,payment,2025-01-30 19:36:48,Georgia,ATM,2,0
T000280,C4305,220.73,deposit,2025-01-10 16:20:52,Washington,POS,37,0
T000281,C7911,41.25,deposit,2025-01-19 12:12:12,California,ATM,35,0
T000282,C1642,47.09,payment,2025-01-09 08:10:54,Washington,POS,33,0
T000283,C8505,9.87,payment,2025-01-04 01:16:13,Texas,mobile,29,0
T000284,C9459,86.34,transfer,2025-01-17 16:52:58,New York,ATM,30,0
T000285,C2377,3.66,transfer,2025-01-14 18:19:14,Texas,ATM,29,0
T000286,C1817,62.66,deposit,2025-01-19 09:18:52,Illinois,ATM,15,0
T000287,C1427,78.23,withdrawal,2025-01-06 16:15:57,Georgia,mobile,28,0
T000288,C7958,33.76,deposit,2025-01-08 20:45:54,Washington,POS,5,0
T000289,C6014,89.36,transfer,2025-01-17 00:56:04,California,mobile,13,0
T000290,C4915,3.1,deposit,2025-01-11 17:40:22,Washington,ATM,9,0
T000291,C8540,3.81,transfer,2025-01-16 00:31:31,Texas,mobile,23,0
T000292,C7201,172.94,transfer,2025-01-07 00:08:19,Georgia,ATM,35,0
T000293,C7037,44.66,withdrawal,2025-01-04 18:33:37,Illinois,desktop,23,0
T000294,C9899,13.59,withdrawal,2025-01-25 19:28:56,Texas,POS,6,0
T000295,C1437,73.87,transfer,2025-01-19 07:31:29,Illinois,ATM,48,0
T000296,C9529,146.96,payment,2025-01-17 12:38:57,Georgia,mobile,36,0
T000297,C8660,24.31,withdrawal,2025-01-12 17:52:10,Florida,mobile,45,0
T000298,C2834,97.52,transfer,2025-01-24 12:13:17,Florida,mobile,47,0
T000299,C4343,8.92,payment,2025-01-11 03:24:59,California,POS,39,0
T000300,C6790,5.31,payment,2025-01-04 06:41:46,Texas,desktop,47,0
T000301,C2298,75.79,deposit,2025-01-14 05:10:39,Florida,POS,37,0
T000302,C2153,77.79,deposit,2025-01-25 17:12:13,Washington,desktop,24,0
T000303,C6964,101.45,withdrawal,2025-01-05 13:05:04,Georgia,mobile,42,0
T000304,C4762,129.5,payment,2025-01-12 13:32:01,New York,POS,33,1
T000305,C6509,372.36,withdrawal,2025-01-19 18:17:27,Georgia,desktop,0,0
T000306,C2474,72.63,transfer,2025-01-10 13:47:27,Washington,mobile,27,0
T000307,C6724,39.0,withdrawal,2025-01-02 19:38:45,Florida,mobile,40,0
T000308,C4571,158.57,payment,2025-01-17 22:19:58,Florida,POS,28,0
T000309,C1253,31.59,deposit,2025-01-09 05:21:12,Texas,desktop,31,0
T000310,C4282,57.8,withdrawal,2025-01-29 06:24:25,Illinois,mobile,4,0
T000311,C4020,8.17,deposit,2025-01-02 17:21:36,New York,mobile,33,0
T000312,C7911,2.57,withdrawal,2025-01-30 11:31:37,New York,mobile,45,0
T000313,C4152,328.74,transfer,2025-01-15 16:02:56,Illinois,ATM,25,0
T000314,C2636,180.78,payment,2025-01-09 15:37:30,Texas,desktop,12,0
T000315,C6732,119.06,withdrawal,2025-01-17 04:14:23,Florida,desktop,11,0
T000316,C5139,52.59,transfer,2025-01-21 01:01:50,Illinois,ATM,21,0
T000317,C4033,19.03,transfer,2025-01-16 13:51:25,Georgia,mobile,8,0
T000318,C4936,17.01,transfer,2025-01-09 05:51:04,Georgia,ATM,5,0
T000319,C1998,28.8,deposit,2025-01-04 15:54:23,Georgia,ATM,35,0
T000320,C8488,79.68,deposit,2025-01-06 01:00:32,New York,ATM,9,0
T000321,C6651,125.38,transfer,2025-01-11 15:44:59,New York,desktop,36,0
T000322,C2557,107.94,transfer,2025-01-20 10:14:05,Georgia,mobile,31,0
T000323,C9273,32.84,withdrawal,2025-01-04 09:00:51,Georgia,mobile,3,0
T000324,C7085,309.81,withdrawal,2025-01-30 11:09:47,Georgia,desktop,3,0
T000325,C4460,133.9,payment,2025-01-26 19:44:19,Florida,desktop,12,0
T000326,C2639,80.82,withdrawal,2025-01-15 02:10:48,Florida,ATM,15,0
T000327,C2474,94.6,payment,2025-01-09 12:39:00,California,ATM,42,0
T000328,C3014,54.4,payment,2025-01-24 06:44:13,Washington,POS,49,0
T000329,C8413,28.47,payment,2025-01-15 15:02:42,Illinois,POS,25,0
T000330,C1556,44.0,deposit,2025-01-10 07:41:08,Florida,desktop,32,0
T000331,C9304,141.82,withdrawal,2025-01-13 13:42:44,California,ATM,3,0
T000332,C7627,1.45,transfer,2025-01-01 23:39:16,Texas,desktop,25,0
T000333,C5114,12.34,payment,2025-01-12 20:48:24,Georgia,ATM,8,0
T000334,C8205,4.71,transfer,2025-01-14 12:03:01,New York,ATM,40,0
T000335,C7413,4.16,payment,2025-01-03 05:08:53,Illinois,desktop,10,0
T000336,C1734,193.42,withdrawal,2025-01-08 10:32:36,Washington,desktop,4,0
T000337,C1900,121.62,payment,2025-01-28 18:34:34,Texas,mobile,37,0
T000338,C6023,64.28,withdrawal,2025-01-07 20:03:02,Illinois,mobile,31,0
