transaction_id,customer_id,transaction_amount,transaction_time,previous_transactions_count,is_fraud,parsed_time,transaction_year,transaction_month,transaction_day,transaction_hour,transaction_minute,day_of_week,is_weekend,is_night_transaction,amount_log,amount_zscore_global,customer_previous_transaction_count,customer_transaction_count,customer_average_amount,customer_max_amount,customer_min_amount,customer_amount_deviation,customer_transactions_last_1h,customer_transactions_last_6h,customer_transactions_last_24h,customer_location_change,customer_device_change,customer_unique_location_count,customer_unique_device_count,transaction_type=deposit,transaction_type=payment,transaction_type=transfer,transaction_type=withdrawal,transaction_location=California,transaction_location=Florida,transaction_location=Georgia,transaction_location=Illinois,transaction_location=New York,transaction_location=Texas,transaction_location=Washington,device_type=ATM,device_type=POS,device_type=desktop,device_type=mobile,amount_bucket=high,amount_bucket=low_medium,amount_bucket=micro,amount_bucket=very_high
T001550,C5086,302.42,2025-01-01 00:22:36,43,0,2025-01-01 00:22:36,2025,1,1,0,22,2,0,1,5.7151,2.0302,0,1,302.42,302.42,302.42,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
T001434,C9512,15.04,2025-01-01 00:23:01,33,0,2025-01-01 00:23:01,2025,1,1,0,23,2,0,1,2.7751,-0.8493,0,1,15.04,15.04,15.04,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
T003691,C9851,74.39,2025-01-01 00:23:17,19,0,2025-01-01 00:23:17,2025,1,1,0,23,2,0,1,4.3227,-0.2546,0,1,74.39,74.39,74.39,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
T016638,C6112,42.85,2025-01-01 00:28:31,19,0,2025-01-01 00:28:31,2025,1,1,0,28,2,0,1,3.7808,-0.5706,0,1,42.85,42.85,42.85,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
T012578,C7689,49.08,2025-01-01 00:30:32,42,0,2025-01-01 00:30:32,2025,1,1,0,30,2,0,1,3.9136,-0.5082,0,1,49.08,49.08,49.08,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
T015480,C5282,93.15,2025-01-01 00:37:48,45,0,2025-01-01 00:37:48,2025,1,1,0,37,2,0,1,4.5449,-0.0666,0,1,93.15,93.15,93.15,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
T019176,C4164,73.87,2025-01-01 00:42:40,19,0,2025-01-01 00:42:40,2025,1,1,0,42,2,0,1,4.3158,-0.2598,0,1,73.87,73.87,73.87,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
T012711,C6424,18.35,2025-01-01 00:42:55,37,0,2025-01-01 00:42:55,2025,1,1,0,42,2,0,1,2.9627,-0.8161,0,1,18.35,18.35,18.35,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
T003368,C4464,21.19,2025-01-01 00:43:19,8,0,2025-01-01 00:43:19,2025,1,1,0,43,2,0,1,3.0996,-0.7877,0,1,21.19,21.19,21.19,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
T002867,C5327,142.2,2025-01-01 00:46:56,14,0,2025-01-01 00:46:56,2025,1,1,0,46,2,0,1,4.9642,0.4248,0,1,142.2,142.2,142.2,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
T007485,C8648,113.53,2025-01-01 00:50:20,6,0,2025-01-01 00:50:20,2025,1,1,0,50,2,0,1,4.7408,0.1376,0,1,113.53,113.53,113.53,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
T006978,C2294,147.51,2025-01-01 00:54:05,7,0,2025-01-01 00:54:05,2025,1,1,0,54,2,0,1,5.0007,0.478,0,1,147.51,147.51,147.51,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
T013360,C1544,29.76,2025-01-01 00:55:40,7,0,2025-01-01 00:55:40,2025,1,1,0,55,2,0,1,3.4262,-0.7018,0,1,29.76,29.76,29.76,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
T008111,C2541,36.42,2025-01-01 00:56:43,31,0,2025-01-01 00:56:43,2025,1,1,0,56,2,0,1,3.6222,-0.6351,0,1,36.42,36.42,36.42,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
T005974,C8961,34.13,2025-01-01 00:58:05,20,0,2025-01-01 00:58:05,2025,1,1,0,58,2,0,1,3.5591,-0.658,0,1,34.13,34.13,34.13,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
T017293,C9190,214.71,2025-01-01 01:07:20,0,0,2025-01-01 01:07:20,2025,1,1,1,7,2,0,1,5.3739,1.1514,0,1,214.71,214.71,214.71,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
T016432,C6029,163.95,2025-01-01 01:10:13,11,0,2025-01-01 01:10:13,2025,1,1,1,10,2,0,1,5.1056,0.6428,0,1,163.95,163.95,163.95,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
T007536,C5532,155.61,2025-01-01 01:10:25,7,0,2025-01-01 01:10:25,2025,1,1,1,10,2,0,1,5.0538,0.5592,0,1,155.61,155.61,155.61,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
T018036,C4561,62.59,2025-01-01 01:12:43,12,0,2025-01-01 01:12:43,2025,1,1,1,12,2,0,1,4.1525,-0.3729,0,1,62.59,62.59,62.59,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
T005828,C7886,44.87,2025-01-01 01:13:48,11,0,2025-01-01 01:13:48,2025,1,1,1,13,2,0,1,3.8258,-0.5504,0,1,44.87,44.87,44.87,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
T013376,C3705,229.6,2025-01-01 01:19:14,13,0,2025-01-01 01:19:14,2025,1,1,1,19,2,0,1,5.4407,1.3006,0,1,229.6,229.6,229.6,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
T008935,C9572,103.16,2025-01-01 01:19:49,4,0,2025-01-01 01:19:49,2025,1,1,1,19,2,0,1,4.6459,0.0337,0,1,103.16,103.16,103.16,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
T011938,C4586,9.81,2025-01-01 01:20:55,26,0,2025-01-01 01:20:55,2025,1,1,1,20,2,0,1,2.3805,-0.9017,0,1,9.81,9.81,9.81,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
T015736,C1494,29.72,2025-01-01 01:30:34,39,0,2025-01-01 01:30:34,2025,1,1,1,30,2,0,1,3.4249,-0.7022,0,1,29.72,29.72,29.72,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
T006584,C5144,110.61,2025-01-01 01:32:17,22,0,2025-01-01 01:32:17,2025,1,1,1,32,2,0,1,4.715,0.1083,0,1,110.61,110.61,110.61,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
T011122,C1247,46.37,2025-01-01 01:34:38,33,0,2025-01-01 01:34:38,2025,1,1,1,34,2,0,1,3.858,-0.5354,0,1,46.37,46.37,46.37,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
T000925,C9076,2.27,2025-01-01 01:34:59,39,0,2025-01-01 01:34:59,2025,1,1,1,34,2,0,1,1.1848,-0.9773,0,1,2.27,2.27,2.27,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
T006472,C5527,104.28,2025-01-01 01:42:13,30,0,2025-01-01 01:42:13,2025,1,1,1,42,2,0,1,4.6566,0.0449,0,1,104.28,104.28,104.28,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
T017116,C5085,8.72,2025-01-01 01:42:15,46,0,2025-01-01 01:42:15,2025,1,1,1,42,2,0,1,2.2742,-0.9126,0,1,8.72,8.72,8.72,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
T013163,C8793,10.43,2025-01-01 01:44:14,32,0,2025-01-01 01:44:14,2025,1,1,1,44,2,0,1,2.4362,-0.8955,0,1,10.43,10.43,10.43,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
T001893,C6345,22.82,2025-01-01 01:44:30,23,0,2025-01-01 01:44:30,2025,1,1,1,44,2,0,1,3.1705,-0.7713,0,1,22.82,22.82,22.82,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
T013921,C7888,4.9,2025-01-01 01:45:44,37,0,2025-01-01 01:45:44,2025,1,1,1,45,2,0,1,1.775,-0.9509,0,1,4.9,4.9,4.9,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
T000471,C1760,350.25,2025-01-01 01:45:58,48,0,2025-01-01 01:45:58,2025,1,1,1,45,2,0,1,5.8615,2.5095,0,1,350.25,350.25,350.25,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
T008711,C2028,34.18,2025-01-01 01:47:43,35,0,2025-01-01 01:47:43,2025,1,1,1,47,2,0,1,3.5605,-0.6575,0,1,34.18,34.18,34.18,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
T001136,C9500,190.52,2025-01-01 01:48:34,45,0,2025-01-01 01:48:34,2025,1,1,1,48,2,0,1,5.255,0.909,0,1,190.52,190.52,190.52,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
T011416,C8922,259.76,2025-01-01 01:48:37,25,0,2025-01-01 01:48:37,2025,1,1,1,48,2,0,1,5.5636,1.6028,0,1,259.76,259.76,259.76,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
T011081,C3745,39.98,2025-01-01 01:48:53,12,0,2025-01-01 01:48:53,2025,1,1,1,48,2,0,1,3.7131,-0.5994,0,1,39.98,39.98,39.98,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
T016366,C3687,106.28,2025-01-01 01:49:54,45,0,2025-01-01 01:49:54,2025,1,1,1,49,2,0,1,4.6754,0.0649,0,1,106.28,106.28,106.28,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
T012149,C8691,28.99,2025-01-01 01:51:24,48,0,2025-01-01 01:51:24,2025,1,1,1,51,2,0,1,3.4009,-0.7095,0,1,28.99,28.99,28.99,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
T001980,C9123,20.59,2025-01-01 01:53:55,47,0,2025-01-01 01:53:55,2025,1,1,1,53,2,0,1,3.0722,-0.7937,0,1,20.59,20.59,20.59,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
T016693,C1611,19.28,2025-01-01 01:54:28,19,0,2025-01-01 01:54:28,2025,1,1,1,54,2,0,1,3.0096,-0.8068,0,1,19.28,19.28,19.28,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
T015083,C3267,12.69,2025-01-01 01:55:25,6,0,2025-01-01 01:55:25,2025,1,1,1,55,2,0,1,2.6167,-0.8728,0,1,12.69,12.69,12.69,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
T016966,C9006,76.36,2025-01-01 01:58:17,22,0,2025-01-01 01:58:17,2025,1,1,1,58,2,0,1,4.3485,-0.2349,0,1,76.36,76.36,76.36,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
T015823,C3536,85.48,2025-01-01 02:04:58,49,0,2025-01-01 02:04:58,2025,1,1,2,4,2,0,1,4.4599,-0.1435,0,1,85.48,85.48,85.48,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
T007896,C1031,122.44,2025-01-01 02:06:32,5,0,2025-01-01 02:06:32,2025,1,1,2,6,2,0,1,4.8158,0.2268,0,1,122.44,122.44,122.44,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
T012991,C4686,73.07,2025-01-01 02:08:55,3,0,2025-01-01 02:08:55,2025,1,1,2,8,2,0,1,4.305,-0.2678,0,1,73.07,73.07,73.07,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
T014050,C6194,105.97,2025-01-01 02:10:37,47,0,2025-01-01 02:10:37,2025,1,1,2,10,2,0,1,4.6725,0.0618,0,1,105.97,105.97,105.97,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
T001651,C2192,36.12,2025-01-01 02:12:01,25,0,2025-01-01 02:12:01,2025,1,1,2,12,2,0,1,3.6142,-0.6381,0,1,36.12,36.12,36.12,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
T000766,C9032,143.74,2025-01-01 02:15:01,40,0,2025-01-01 02:15:01,2025,1,1,2,15,2,0,1,4.9749,0.4403,0,1,143.74,143.74,143.74,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
T009375,C8607,28.33,2025-01-01 02:15:11,30,0,2025-01-01 02:15:11,2025,1,1,2,15,2,0,1,3.3786,-0.7161,0,1,28.33,28.33,28.33,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
T012839,C3126,31.57,2025-01-01 02:17:47,20,0,2025-01-01 02:17:47,2025,1,1,2,17,2,0,1,3.4834,-0.6837,0,1,31.57,31.57,31.57,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
T010325,C4297,27.75,2025-01-01 02:18:01,44,0,2025-01-01 02:18:01,2025,1,1,2,18,2,0,1,3.3586,-0.7219,0,1,27.75,27.75,27.75,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
T009617,C5251,279.28,2025-01-01 02:18:10,0,0,2025-01-01 02:18:10,2025,1,1,2,18,2,0,1,5.6358,1.7983,0,1,279.28,279.28,279.28,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
T017731,C6915,91.37,2025-01-01 02:20:16,30,0,2025-01-01 02:20:16,2025,1,1,2,20,2,0,1,4.5258,-0.0845,0,1,91.37,91.37,91.37,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
T008188,C9031,73.43,2025-01-01 02:21:24,27,0,2025-01-01 02:21:24,2025,1,1,2,21,2,0,1,4.3099,-0.2642,0,1,73.43,73.43,73.43,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
T016757,C9900,229.63,2025-01-01 02:22:05,2,0,2025-01-01 02:22:05,2025,1,1,2,22,2,0,1,5.4408,1.3009,0,1,229.63,229.63,229.63,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
T014577,C7651,73.78,2025-01-01 02:22:30,0,0,2025-01-01 02:22:30,2025,1,1,2,22,2,0,1,4.3146,-0.2607,0,1,73.78,73.78,73.78,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
T014192,C7347,67.2,2025-01-01 02:22:45,43,0,2025-01-01 02:22:45,2025,1,1,2,22,2,0,1,4.2224,-0.3267,0,1,67.2,67.2,67.2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
T003079,C2790,289.56,2025-01-01 02:25:45,2,0,2025-01-01 02:25:45,2025,1,1,2,25,2,0,1,5.6718,1.9013,0,1,289.56,289.56,289.56,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
T002659,C3959,107.11,2025-01-01 02:26:52,33,0,2025-01-01 02:26:52,2025,1,1,2,26,2,0,1,4.6831,0.0732,0,1,107.11,107.11,107.11,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
T012955,C4527,122.65,2025-01-01 02:31:26,6,0,2025-01-01 02:31:26,2025,1,1,2,31,2,0,1,4.8175,0.2289,0,1,122.65,122.65,122.65,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
T002657,C3317,189.94,2025-01-01 02:32:46,21,0,2025-01-01 02:32:46,2025,1,1,2,32,2,0,1,5.252,0.9032,0,1,189.94,189.94,189.94,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
T000901,C3031,2.69,2025-01-01 02:33:06,27,0,2025-01-01 02:33:06,2025,1,1,2,33,2,0,1,1.3056,-0.973,0,1,2.69,2.69,2.69,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
T013976,C1105,91.55,2025-01-01 02:34:27,13,0,2025-01-01 02:34:27,2025,1,1,2,34,2,0,1,4.5277,-0.0827,0,1,91.55,91.55,91.55,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
T013501,C9454,106.83,2025-01-01 02:34:48,14,0,2025-01-01 02:34:48,2025,1,1,2,34,2,0,1,4.6806,0.0704,0,1,106.83,106.83,106.83,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
T005142,C5061,87.16,2025-01-01 02:39:04,30,0,2025-01-01 02:39:04,2025,1,1,2,39,2,0,1,4.4792,-0.1267,0,1,87.16,87.16,87.16,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
T002119,C9003,214.06,2025-01-01 02:39:31,37,0,2025-01-01 02:39:31,2025,1,1,2,39,2,0,1,5.3709,1.1449,0,1,214.06,214.06,214.06,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
T016398,C4823,4.66,2025-01-01 02:40:37,35,0,2025-01-01 02:40:37,2025,1,1,2,40,2,0,1,1.7334,-0.9533,0,1,4.66,4.66,4.66,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
T010161,C8531,95.74,2025-01-01 02:42:32,2,0,2025-01-01 02:42:32,2025,1,1,2,42,2,0,1,4.572,-0.0407,0,1,95.74,95.74,95.74,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
T008778,C2631,148.23,2025-01-01 02:45:17,25,0,2025-01-01 02:45:17,2025,1,1,2,45,2,0,1,5.0055,0.4852,0,1,148.23,148.23,148.23,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
T000060,C4210,49.21,2025-01-01 02:52:13,34,0,2025-01-01 02:52:13,2025,1,1,2,52,2,0,1,3.9162,-0.5069,0,1,49.21,49.21,49.21,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
T007635,C2980,4.48,2025-01-01 02:53:38,0,0,2025-01-01 02:53:38,2025,1,1,2,53,2,0,1,1.7011,-0.9551,0,1,4.48,4.48,4.48,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
T001138,C6892,65.51,2025-01-01 02:59:55,10,0,2025-01-01 02:59:55,2025,1,1,2,59,2,0,1,4.1974,-0.3436,0,1,65.51,65.51,65.51,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
T019272,C3918,4.48,2025-01-01 03:00:15,24,0,2025-01-01 03:00:15,2025,1,1,3,0,2,0,1,1.7011,-0.9551,0,1,4.48,4.48,4.48,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
T018065,C3503,139.11,2025-01-01 03:00:35,37,0,2025-01-01 03:00:35,2025,1,1,3,0,2,0,1,4.9424,0.3939,0,1,139.11,139.11,139.11,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
T008274,C6656,73.53,2025-01-01 03:05:24,13,0,2025-01-01 03:05:24,2025,1,1,3,5,2,0,1,4.3112,-0.2632,0,1,73.53,73.53,73.53,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
T019532,C9720,42.17,2025-01-01 03:05:35,28,0,2025-01-01 03:05:35,2025,1,1,3,5,2,0,1,3.7651,-0.5775,0,1,42.17,42.17,42.17,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
T016309,C5786,53.65,2025-01-01 03:06:06,31,0,2025-01-01 03:06:06,2025,1,1,3,6,2,0,1,4.0009,-0.4624,0,1,53.65,53.65,53.65,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
T003013,C3958,43.53,2025-01-01 03:06:11,34,0,2025-01-01 03:06:11,2025,1,1,3,6,2,0,1,3.7962,-0.5638,0,1,43.53,43.53,43.53,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
T011395,C1518,29.29,2025-01-01 03:09:49,49,0,2025-01-01 03:09:49,2025,1,1,3,9,2,0,1,3.4108,-0.7065,0,1,29.29,29.29,29.29,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
T003339,C2604,106.17,2025-01-01 03:10:54,34,0,2025-01-01 03:10:54,2025,1,1,3,10,2,0,1,4.6744,0.0638,0,1,106.17,106.17,106.17,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
T013482,C1214,95.9,2025-01-01 03:12:25,6,0,2025-01-01 03:12:25,2025,1,1,3,12,2,0,1,4.5737,-0.0391,0,1,95.9,95.9,95.9,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
T009941,C4818,5.54,2025-01-01 03:15:11,7,0,2025-01-01 03:15:11,2025,1,1,3,15,2,0,1,1.8779,-0.9445,0,1,5.54,5.54,5.54,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
